"","ACCESS1","CANESM21","CAESM1BGC","CCSM4","CMCC_CMS","CNRCCM5","GFDL_CM3","HADGECC","HADGEES","MICRO5","ENSEMBLE"
"44",-0.286,-0.903,-1.652,6.934,0.319,8.53,-0.094,2.124,2.985,3.167,-1.652
"45",2.452,-2.634,-1.297,7.938,-2.882,8.689,-0.961,0.996,5.613,3.783,-2.882
"46",1.643,5.924,0.133,6.613,-2.869,3.583,1.17,-1.358,3.648,6.258,-2.869
"47",2.133,8.568,2.573,7.917,-0.041,3.775,1.421,2.819,2.365,0.242,-0.041
"48",3.736,7.587,-0.495,6.81,0.749,11.412,2.352,0.088,2.954,-4.015,-4.015
"49",-0.641,3.442,1.698,7.413,0.827,6.824,3.008,2.626,6.401,-0.522,-0.641
"50",-5.215,-2.97,1.325,8.917,-0.61,7.581,-0.483,0.433,2.718,5.007,-5.215
"51",-3.729,-4.438,6.252,8.053,-1.085,8.425,-4.464,1.555,-2.914,9.151,-4.464
"52",0.984,1.561,4.11,9.082,4.037,10.929,-7.276,0.159,-2.394,4.309,-7.276
"53",-1.941,1.379,4.371,10.045,6.006,12.322,-6.217,-5.856,1.139,3.533,-6.217
"54",1.363,-2.837,-2.962,10.427,10.673,4.184,-2.268,-3.672,2.7,7.302,-3.672
"55",0.578,0.823,-0.341,9.967,7.573,10.548,-9.405,-1.266,7.177,5.828,-9.405
"56",-1.47,-0.91,1.363,9.562,1.057,9.274,-6.485,4.061,8.416,-0.462,-6.485
"57",-1.346,-3.22,2.548,8.876,-0.327,6.102,-0.383,-3.722,6.953,1.509,-3.722
"58",2.815,0.742,5.599,7.918,0.572,4.988,5.236,-2.479,8.287,2.485,-2.479
"59",3.158,3.976,0.186,4.748,1.42,0.683,0.007,-3.681,6.238,5.046,-3.681
"60",-1.925,3.916,0.907,0.321,1.542,-0.925,-1.746,-2.562,7.45,-0.205,-2.562
"61",-3.032,0.22,5.168,4.498,1.953,5.375,-4.586,-2.696,4.638,-0.324,-4.586
"62",-1.492,-1.04,6.049,5.073,-0.155,5.391,-5.543,-0.943,1.73,5.344,-5.543
"63",-0.208,-0.437,2.11,5.024,-0.584,1.514,4.447,-3.274,0.456,5.767,-3.274
"64",1.809,1.639,4.832,4.272,4.865,4.233,7.198,-1.347,-0.108,0.123,-1.347
"65",1.28,2.465,7.868,3.938,7.012,9.725,6.718,-1.355,5.92,0.049,-1.355
"66",5.156,2.612,7.322,4.086,6.111,7.719,7.927,-0.873,4.861,-0.495,-0.873
"67",8.564,2.184,2.605,3.449,8.209,1.521,5.281,2.246,5.529,2.738,1.521
"68",5.628,-0.057,4.478,7.917,7.159,1.326,3.879,2.414,5.486,4.098,-0.057
"69",3.252,1.815,-1.277,3.218,3.725,1.286,2.292,3.079,5.038,0.747,-1.277
"70",-0.786,4.769,-0.088,5.207,0.277,1.977,8.321,0.95,6.625,5.013,-0.786
"71",-1.108,3.42,-1.571,7.081,1.262,4.106,12.566,1.158,-0.331,10.22,-1.571
"72",0.385,-1.16,-1.226,5.004,5.585,6.529,10.141,1.779,-0.962,4.887,-1.226
"73",-0.265,-0.244,-0.884,8.062,2.827,3.238,8.582,1.26,-0.038,0.67,-0.884
"74",0.15,0.431,3.529,6.206,1.695,-0.421,7.592,0.195,-1.364,2.407,-1.364
"75",3.583,0.846,4.811,4.31,0.434,1.693,5.142,-0.508,-0.226,-0.172,-0.508
"76",5.524,2.016,8.498,0.533,0.436,1.87,-3.135,-0.167,-2.487,-0.157,-3.135
"77",-3.987,3.014,8.471,-2.377,-1.572,3.609,-3.195,5.522,-2.532,3.282,-3.987
"78",0.358,1.808,4.768,3.555,-2.007,1.233,-6.218,2.882,4.188,2.401,-6.218
"79",0.413,1.267,3.418,6.71,4.217,1.489,-4.642,3.107,8.17,2.715,-4.642
"80",7.44,1.603,5.216,3.856,2.132,1.647,0.616,-1.523,4.668,1.703,-1.523
"81",-1.316,1.579,9.644,3.209,-2.757,0.803,-4.076,-1.861,6.427,2.113,-4.076
"82",0.607,2.289,7.041,4.426,0.875,3.734,-1.395,3.006,10.561,0.25,-1.395
"83",3.628,3.231,3.731,3.258,5.838,0.712,0.311,0.896,10.285,0.858,0.311
"84",2.235,2.531,4.359,5.86,2.12,2.614,2.7,2.137,9.704,-0.012,-0.012
"85",1.695,5.205,3.523,1.624,-1.966,4.333,-0.625,4.232,5.144,3.423,-1.966
"86",2.04,2.92,5.908,0.768,-0.182,1.768,-0.579,7.04,6.073,10.785,-0.579
"87",4.735,2.348,5.806,3.006,-0.498,5.132,2.546,4.367,10.28,7.841,-0.498
"88",3.364,3.079,2.09,5.103,-2.456,1.386,6.129,2.895,8.192,2.539,-2.456
"89",3.089,4.725,1.8,5.321,-1.177,1.016,9.787,1.101,6.961,-0.528,-1.177
"90",1.39,5.525,0.598,7.057,0.253,-0.52,11.39,-0.99,9.155,0.239,-0.99
"91",4.162,2.577,0.588,6.645,-2.942,-1.208,10.217,-1.11,6.07,3.825,-2.942
"92",2.7,2.604,3.313,8.995,-1.705,-0.483,3.535,-2.626,0.077,5.281,-2.626
"93",4.727,9.155,2.975,7.165,5.235,2.46,4.966,-0.815,1.226,1.499,-0.815
"94",3.528,5.486,3.176,6.051,5.022,2.73,4.341,-3.191,1.625,0.456,-3.191
"95",3.481,2.552,1.931,4.928,10.014,5.295,4.411,-0.266,0.26,1.664,-0.266
"96",-0.94,4.248,5.373,1.2,11.025,3.679,2.511,2.031,1.131,2.367,-0.94
"97",2.35,2.711,4.351,4.975,9.736,3.604,4.834,3.479,5.329,4.129,2.35
"98",5.237,0.468,5.102,5.193,9.203,5.676,9.444,4.525,6.219,8.179,0.468
"99",8.196,-2.87,6.18,4.756,8.605,5.295,5.889,5.818,3.4,8.631,-2.87
"100",9.293,0.164,6.729,9.017,4.569,3.04,6.281,3.659,-0.408,4.606,-0.408
"101",8.555,0.711,5.729,4.983,1.715,3.008,3.505,3.642,-0.889,4.717,-0.889
"102",8.433,1.861,4.586,3.961,0.549,3.675,3.082,4.348,0.849,4.226,0.549
"103",10.4,0.764,3.564,4.334,-2.512,0.965,4.397,4.372,0.608,6.225,-2.512
"104",7.012,1.056,3.079,3.49,4.321,1.246,2.547,4.707,3.6,4.26,1.056
"105",6.548,2.786,1.853,2.493,3.385,7.663,3.48,4.295,6.271,1.771,1.771
"106",8.408,3.221,2.362,4.172,4.921,8.648,1.431,4.967,8.128,2.503,1.431
"107",9.293,9.584,1.591,4.666,4.697,5.422,3.755,7.378,7.943,5.68,1.591
"108",9.676,10.881,1.948,4.174,6.525,3.052,4.059,9.003,1.035,3.074,1.035
"109",9.12,8.069,5.507,6.172,13.508,3.806,5.265,2.283,4.544,0.719,0.719
"110",8.101,4.785,5.29,5.012,7.976,9.481,5.953,4.691,4.663,2.691,2.691
"111",10.777,3.528,5.889,9.043,7.45,1.296,3.75,6.482,3.566,5.842,1.296
"112",8.491,1.49,6.353,9.237,4.471,2.537,4.429,4.293,2.932,4.61,1.49
"113",2.881,3.745,5.042,7.384,2.42,6.207,5.757,3.245,4.538,3.87,2.42
"114",3.803,4.451,6.933,5.745,2.536,6.422,5.752,2.896,6.082,4.179,2.536
"115",7.838,4.823,4.479,9.527,2.611,3.119,1.494,4.214,2.932,4.331,1.494
"116",4.354,6.327,3.637,10.645,2.57,2.469,2.006,1.766,2.641,3.474,1.766
"117",3.49,9.725,2.431,8.586,3.777,2.251,1.923,4.781,0.297,2.541,0.297
"118",5.318,6.733,4.982,7.354,4.996,0.899,1.652,2.93,3.249,4.451,0.899
"119",3.92,5.85,6.909,7.319,5.717,0.13,5.437,4.788,1.694,4.408,0.13
"120",7.371,5.767,2.79,3.225,3.894,6.504,5.781,6.277,-0.604,5.289,-0.604
"121",7.913,4.363,7.329,5.272,5.843,8.888,5.078,7.075,2.976,2.69,2.69
"122",10.147,5.455,5.024,5.436,4.167,9.343,3.399,6.509,4.138,4.366,3.399
"123",9.608,5.454,12.536,4.943,2.339,5.602,3.133,6.096,5.432,5.559,2.339
"124",5.093,2.431,9.294,4.814,3.168,1.262,7.078,5.343,6.373,6.305,1.262
"125",7.443,2.924,8.118,4.861,4.314,4.227,7.952,6.778,4.006,4.915,2.924
"126",8.236,4.039,5.381,3.918,2.613,1.963,6.15,6,4.406,5.51,1.963
"127",5.396,3.737,5.059,4.386,2.66,1.8,2.838,7.896,5.927,4.946,1.8
"128",4.859,3.343,7.524,5.457,7.118,4.492,3.146,7.087,5.942,9.388,3.146
"129",6.2,2.634,5.004,5.945,6.681,3.361,3.822,9.201,3.25,5.582,2.634
"130",7.603,3.823,6.629,5.705,8.511,2.596,1.438,6.243,3.414,5.238,1.438
"131",7.042,3.51,5.969,4.487,10.753,3.438,2.842,5.066,1.661,7.604,1.661
"132",7.14,4.041,6.921,5.469,6.22,6.725,5.938,4.797,1.31,3.932,1.31
"133",8.835,4.121,6.083,7.32,8.504,8.801,6.176,5.74,2.545,4.678,2.545
"134",6.755,4.727,4.989,3.885,5.819,5.25,6.547,9.938,5.541,6.678,3.885
"135",4.013,3.023,8.285,4.399,3.587,6.8,5.23,9.01,9.248,5.767,3.023
"136",5.875,0.916,7.033,6.868,5.623,5.514,5.854,5.547,10.248,7.323,0.916
"137",7.99,0.585,8.811,5.225,4.649,4.971,6.027,5.205,6.18,6.416,0.585
"138",11.763,2,8.437,5.99,4.831,6.11,3.684,5.314,9.274,5.786,2
"139",5.912,4.085,6.593,10.058,4.915,8.78,3.881,4.166,10.036,4.653,3.881
"140",0.318,4.718,7.067,8.576,4.926,8.985,7.346,5.201,9.178,4.22,0.318
"141",2.173,4.218,6.176,7.013,6.16,9.024,5.426,4.768,8.696,7.11,2.173
"142",3.977,9.234,3.833,6.287,2.868,8.038,10.858,5.97,5.046,7.945,2.868
"143",6.343,13.219,6.378,6.544,4.65,6.724,10.76,5.922,4.776,8.568,4.65
"144",4.028,11.051,9.496,7.062,6.854,2.739,9.538,4.194,7.371,8.373,2.739
"145",5.034,7.814,9.171,6.612,9.063,2.926,10.218,3.613,4.719,7.83,2.926
"146",4.143,9.245,9.886,8.487,8.773,6.575,6.981,5.572,6.422,7.901,4.143
"147",5.611,7.658,6.287,7.753,5.278,4.98,6.719,8.162,9.89,9.631,4.98
"148",6.319,9.025,5.406,10.173,4.203,4.158,8.945,6.636,11.794,10.326,4.158
"149",7.525,7.493,7.099,10.283,4.307,2.074,11.537,6.696,9.284,10.035,2.074
"150",6.326,7.476,8.765,8.913,3.928,2.242,11.618,7.918,5.919,7.073,2.242
"151",6.775,4.879,8.231,9.743,7.14,4.01,8.817,5.973,7.518,9.686,4.01
"152",7.953,3.319,8.09,10.538,10.252,5.494,11.96,5.761,7.483,11.894,3.319
"153",8.806,5.997,8.087,5.883,8.122,7.588,11.214,4.811,8.237,9.88,4.811
"154",7.196,6.294,8.933,6.384,9.661,8.299,12.477,6.3,5.774,8.261,5.774
"155",8.361,11.406,6.122,8.426,8.506,10.706,12.002,9.414,10.355,6.736,6.122
"156",7.55,10.976,9.525,9.017,10.396,10.636,9.27,10.866,11.764,9.017,7.55
"157",8.022,6.878,9.771,9.783,8.885,12.535,6.2,8.36,11.643,9.613,6.2
"158",7.74,3.967,9.994,10.261,7.288,13.599,8.396,11.313,10.15,7.614,3.967
"159",8.852,5.579,7.477,10.066,5.045,11.258,6.649,12.246,7.962,6.042,5.045
"160",8.101,4.197,7.573,7.1,6.403,12.418,5.085,11.026,10.301,8.092,4.197
"161",8.411,5.978,7.385,8.686,6.335,10.069,5.893,6.313,9.28,10.116,5.893
"162",11.641,6.143,7.384,7.983,9.547,10.906,7.001,10.555,12.466,7.572,6.143
"163",12.597,4.999,7.886,6.804,6.071,10.745,6.77,7.116,11.205,8.497,4.999
"164",10.524,4.929,8.94,7.455,3.831,7.275,6.835,7.771,10.302,8.37,3.831
"165",10.929,6.797,8.449,8.907,7.009,7.881,11.033,11.679,9.852,7.341,6.797
"166",11.677,7.777,6.584,8.201,8.227,7.871,14.531,17.346,10.018,4.954,4.954
"167",9.472,8.713,6.939,8.621,10.179,10.059,12.321,12.872,9.873,4.509,4.509
"168",8.855,4.887,9.058,10.935,14.743,9.426,9.847,14.105,10.556,5.907,4.887
"169",6.391,4.216,7.482,10.572,12.762,12.888,7.376,12.823,11.224,7.723,4.216
"170",8.071,4.516,6.162,10.001,10.567,11.633,5.119,10.053,9.456,8.286,4.516
"171",7.524,6.499,7.753,11.842,7.731,8.61,5.674,10.688,9.348,5.641,5.641
"172",8.675,6.922,8.951,11.187,8.384,8.593,6.87,8.425,7.705,8.298,6.87
"173",5.693,9.134,9.405,9.801,5.007,11.112,7.836,7.641,5.566,7.659,5.007
"174",9.482,7.474,4.709,10.224,4.527,5.078,8.821,9.59,8.167,6.544,4.527
"175",8.566,6.78,6.443,11.262,2.949,5.27,8.924,8.847,8.834,9.166,2.949
"176",10.438,7.224,6.014,10.625,6.021,7.6,7.126,8.48,9.575,9.882,6.014
"177",11.193,9.807,8.811,10.552,2.782,9.668,7.875,7.745,8.717,6.184,2.782
"178",9.23,5.165,9.586,8.206,8.201,9.959,8.08,8.692,9.688,7.437,5.165
"179",14.393,4.737,7.985,9.926,11.213,10.234,10.583,8.585,11.656,8.662,4.737
"180",13.431,4.593,7.343,11.921,9.923,8.424,14.955,7.589,9.326,10.362,4.593
"181",12.235,3.736,8.638,10.359,12.082,4.902,13.864,6.75,11.979,10.048,3.736
"182",10.916,4.643,9.949,11.416,13.112,8.968,10.816,8.736,10.605,10.102,4.643
"183",9.171,8.095,10.496,11.111,12.9,10.453,3.798,6.256,13.862,8.972,3.798
"184",11.666,7.511,10.173,11.617,9.801,9.02,6.082,9.818,14.526,10.514,6.082
"185",8.984,6.269,9.796,9.817,6.352,9.965,8.497,9.615,13.008,11.254,6.269
"186",10.51,6.41,7.522,11.293,5.107,8.162,8.939,10.069,13.792,10.215,5.107
"187",11.375,6.151,4.972,12.586,8.74,7.529,6.93,9.369,12.699,10.374,4.972
"188",12.023,8.045,8.686,12.223,6.318,11.96,5.147,10.112,10.634,9.287,5.147
"189",11.128,9.961,9.798,13.604,6.882,8.691,8.4,8.621,9.547,7.048,6.882
"190",10.767,13.001,11.301,13.433,11.512,9.462,7.329,8.576,7.849,10.558,7.329
"191",11.185,11.405,7.674,11.141,12.782,8.406,5.36,9.066,9.025,11.406,5.36
"192",11.057,8.836,6.645,10.57,11.193,8.816,7.537,10.271,9.349,9.743,6.645
"193",7.583,8.592,10.35,12.355,11.136,9.372,8.904,9.97,8.934,11.635,7.583
"194",6.42,7.926,10.659,11.038,10.259,9.991,9.986,10.773,6.534,13.731,6.42
"195",6.711,7.811,11.319,11.115,8.557,10.716,7.965,9.871,5.389,10.835,5.389
"196",7.508,9.455,12.377,10.886,11.554,10.027,6.885,11.178,5.944,11.361,5.944
"197",7.409,7.591,14.13,10.612,13.578,10.659,10.505,10.096,7.017,10.509,7.017
"198",8.497,11.764,13.543,9.898,13.442,11.713,7.682,11.829,8.485,9.341,7.682
"199",8.984,11.187,12.615,11.781,14.585,10.67,6.811,10.122,9.575,7.804,6.811
"200",8.57,10.524,12.271,11.129,15.013,8.48,9.529,11.965,8.02,8.676,8.02
"201",6.179,9.229,9.674,11.206,13.75,10.269,10.824,10.917,10.151,7.916,6.179
"202",8.782,8.826,9.709,10.885,9.865,9.771,11.689,11.047,11.055,9.597,8.782
"203",9.348,9.278,10.75,9.492,8.423,11.412,10.208,11.669,11.19,9.945,8.423
"204",9.612,10.881,11.724,12.424,6.53,11.558,10.507,12.898,11.415,11.37,6.53
"205",9.41,10.092,14.485,10.871,6.729,11.318,6.611,12.12,10.285,12.714,6.611
"206",6.177,10.113,13.268,13.11,8.326,10.176,8.511,10.571,10.107,11.323,6.177
"207",9.343,10.284,16.673,11.316,4.665,9.74,12.299,10.047,11.141,11.63,4.665
"208",9.946,10.32,12.068,11.602,8.653,11.481,11.116,11.653,9.1,11.473,8.653
"209",9.971,10.693,13.453,11.714,9.554,11.45,10.175,14.594,11.294,11.542,9.554
"210",10.064,11.284,12.036,12.241,11.994,10.627,9.815,13.288,9.599,12.233,9.599
"211",11.276,10.548,12.688,11.724,12.119,10.875,8.351,13.017,7.81,11.23,7.81
"212",11.598,9.942,11.447,11.325,9.284,9.85,8.621,8.857,7.564,11.067,7.564
"213",10.275,10.112,11.094,12.147,10.466,10.107,11.851,10.432,9.382,9.49,9.382
"214",7.64,9.137,11.345,13.022,12.078,8.402,9.152,9.476,10.592,9.168,7.64
"215",8.855,8.222,8.053,12.342,9.607,9.887,8.898,10.157,9.684,9.208,8.053
"216",6.177,7.539,11.039,9.697,10.45,10.937,6.239,10.293,7.662,9.781,6.177
"217",7.026,9.226,11.022,8.009,9.943,12.809,3.889,10.509,10.618,9.687,3.889
"218",6.575,10.549,11.017,10.506,5.841,11.802,4.494,10.094,12.781,10.302,4.494
"219",7.545,9.286,11.672,8.024,5.512,11.045,4.993,11.476,13.254,10.392,4.993
"220",7.702,7.906,10.176,7.889,6.591,11.798,6.978,11.632,9.366,8.358,6.591
"221",5.165,8.374,12.086,8.65,9.442,11.475,7.269,11.21,11.014,8.332,5.165
"222",7.373,7.065,10.394,9.522,9.722,11.027,4.595,12.158,10.652,9.811,4.595
"223",8.121,5.877,9.837,9.188,12.939,10.51,7.434,8.353,9.662,10.138,5.877
"224",8.606,8.2,10.878,10.026,14.331,11.304,6.417,7.587,8.863,10.212,6.417
"225",10.192,9.031,12.032,9.056,11.256,15.052,3.538,7.521,2.996,10.055,2.996
"226",7.092,7.924,8.712,12.343,6.745,11.864,4.422,10.721,4.758,10.718,4.422
"227",5.486,9.213,9.851,11.71,5.977,12.856,7.807,9.904,6.925,9.572,5.486
"228",7.519,8.384,9.28,12.156,8.355,12.392,8.272,6.751,5.191,4.985,4.985
"229",8.568,8.705,9.258,12.507,7.981,10.9,8.311,6.819,5.95,5.272,5.272
"230",10.627,8.87,9.074,9.048,6.921,10.742,9.875,9.891,4.76,7.447,4.76
"231",9.91,17.334,8.858,9.261,6.506,9.754,10.17,10.821,5.162,6.905,5.162
"232",9.328,12.833,11.612,9.732,7.831,8.3,11.446,9.666,9.597,7.599,7.599
"233",10.627,11.505,9.13,8.017,8.42,10.107,11.945,8.746,11.451,8.578,8.017
"234",10.836,11.768,10.092,8.745,10.315,12.051,8.689,9.339,6.92,9.005,6.92
"235",12.36,8.773,10.211,11.163,14.852,13.467,8.512,7.408,8.439,8.049,7.408
"236",15.587,11.825,9.353,12.188,14.38,9.577,6.184,5.11,5.964,7.63,5.11
"237",13.766,11.652,10.792,10.763,14.212,8.437,5.821,5.441,9.749,7.141,5.441
"238",11.791,10.946,10.932,8.612,9.272,7.848,6.826,8.26,8.302,6.305,6.305
"239",12.25,9.103,11.153,7.337,9.987,7.582,8.268,9.539,8.941,7.811,7.337
"240",10.527,9.377,11.396,8.334,9.115,6.621,9.993,10.676,10.288,10.418,6.621
"241",11.376,6.982,10.806,8.33,9.343,9.118,8.662,7.719,8.396,6.522,6.522
"242",11.721,6.412,11.074,9.802,9.825,11.204,6.007,9.21,9.086,6.682,6.007
"243",9.042,7.124,10.926,9.411,8.429,8.178,7.878,9.95,7.034,6.58,6.58
"244",8.338,7.354,6.487,6.924,9.014,10.068,8.556,10.811,8.201,7.438,6.487
"245",8.585,7.545,7.733,9.517,6.928,10.981,6.479,13.853,7.178,9.545,6.479
"246",10.347,9.45,9.809,10.068,7.999,10.921,6.067,13.266,6.272,7.52,6.067
"247",10.411,9.655,7.756,9.703,7.474,12.512,10.15,12.71,6.542,11.036,6.542
"248",7.341,6.793,11.351,10.919,8.772,10.659,6.644,11.795,7.511,11.058,6.644
"249",7.675,5.359,12.79,10.691,8.961,10.573,5.037,12.827,6.657,5.084,5.037
"250",6.141,8.103,13.435,6.126,10.208,9.405,8.25,11.949,7.968,6.492,6.126
"251",6.744,9.013,15.907,6.332,8.939,8.454,7.275,18.454,7.994,5.157,5.157
"252",7.409,6.911,15.084,5.045,7.091,8.173,8.341,12.754,6.857,7.982,5.045
"253",10.197,8,13.658,6.598,10.109,8.529,9.9,9.667,7.766,5.779,5.779
"254",9.575,9.318,10.785,6.251,9.716,9.871,9.755,8.242,9.991,5.718,5.718
"255",9.416,8.663,8.614,5.22,8.479,12.115,12.151,7.229,8.149,8.492,5.22
"256",8.761,6.789,8.564,7.697,10.274,9.83,10.574,9.839,4.904,7.037,4.904
"257",6.138,4.543,9.805,8.256,13.294,8.022,9.522,8.69,6.548,8.078,4.543
"258",9.073,7.697,6.134,7.757,11.544,8.556,6.893,6.948,5.553,7.525,5.553
"259",6.916,7.198,11.693,12.738,6.542,5.594,7.44,8.103,4.788,8.603,4.788
"260",6.539,8.723,8.733,14.799,9.911,7.806,10.585,8.619,6.733,9.156,6.539
"261",4.463,8.752,9.733,10.1,9.189,8.855,12.742,8.204,7.233,8.223,4.463
"262",7.15,10.03,9.453,11.563,10.056,6.559,12.444,9.93,5.339,8.104,5.339
"263",5.226,6.229,6.002,8.751,10.637,8.299,13.197,12.852,6.513,9.238,5.226
"264",7.186,7.157,7.379,10.862,6.87,8.731,15.143,9.604,6.059,8.66,6.059
"265",7.235,7.86,3.721,8.247,10.54,10.551,10.651,8.476,7.385,8.406,3.721
"266",8.009,6.424,5.625,8.056,9.966,10.068,8.294,7.779,8.216,5.749,5.625
"267",8.29,7.495,5.512,10.125,9.07,10.678,11.312,7.937,4.724,6.381,4.724
"268",9.641,5.966,6.467,12.174,6.457,10.055,8.276,6.393,7.834,6.902,5.966
"269",8.853,6.6,9.878,12.59,3.908,6.481,9.495,8.199,9.871,7.173,3.908
"270",8.068,6.323,9.62,14.11,6.19,4.937,10.92,5.977,8.947,7.033,4.937
"271",7.454,7.826,11.182,14.728,9.697,7.144,12.286,8.184,8.562,5.619,5.619
"272",7.617,7.364,9.647,15.072,6.175,4.62,9.812,8.139,9.869,6.948,4.62
"273",9.16,5.641,5.935,13.286,7.269,8.403,5.588,10.458,8.631,7.117,5.588
"274",7.083,10.04,5.373,9.312,7.039,6,4.319,7.053,8.144,7.118,4.319
"275",8.914,4.713,4.867,9.595,6.057,6.179,5.702,7.208,4.59,5.873,4.59
"276",5.559,5.549,6.843,9.164,4.932,7.73,6.809,6.722,5.269,5.34,4.932
"277",3.187,10.263,12.679,12.509,5.564,6.998,7.038,8.324,8.076,4.177,3.187
"278",6.235,9.236,8.355,10.657,9.813,7.522,4.473,6.842,8.374,5.46,4.473
"279",6.119,4.102,3.006,11.095,11.661,9.141,2.954,7.508,8.878,7.477,2.954
"280",8.448,3.353,2.022,11.658,8.478,6.45,4.564,7.169,11.249,5.897,2.022
"281",10.795,1.716,3.679,4.338,6.211,7.701,8.479,9.82,11.313,7.22,1.716
"282",7.642,4.656,4.623,5.877,5.76,10.039,12.314,11.738,5.159,7.338,4.623
"283",3.54,6.745,3.47,4.763,2.182,8.269,12.657,11.922,7.064,9.519,2.182
"284",4.491,8.425,5.796,7.636,4.397,4.086,11.894,13.32,6.696,7.717,4.086
"285",6.233,6.638,6.096,4.371,3.768,6.538,8.77,10.005,6.367,5.133,3.768
"286",9.725,6.927,1.784,3.726,8.205,4.673,10.534,8.707,8.505,5.839,1.784
